timestamp,prompt,poem
2025-05-10 20:11:27,เยลลี่ยุทธเมืองสุรินทร์ ใครได้เห็นก็ต้องอยากกิน โคตรอร่อยเคี้ยวเพลินนุ่มลิ้น จะไปบอกแม่ว่าหนูอยากกิน ,"เจ้าพราหมณ์ฟังนางยิ้มแล้วพาที	นี่หรือพี่เยลลี่ยุทธเมืองสุรินทร์
ท่านกินสิ้นเสร็จสรรพไม่กลับคัน	ขออการไปบอกแม่เจ้าแก้วตา"
2025-05-10 20:11:43,เยลลี่ยุทธเมืองสุรินทร์ ใครได้เห็นก็ต้องอยากกิน โคตรอร่อยเคี้ยวเพลินนุ่มลิ้น จะไปบอกแม่ว่าหนูอยากกิน ,"เยลลี่ยุทธเมืองสุรินทร์นั้น	ใครได้มันเห็นก็จะกินหวัง
อร่อยถึงทรวงดวงใจตั้ง	เคี้ยวเพลินพลั้งลิ้นจนอิ่มตา
ถึงจะกินก็ไม่เหมือนเลย	อร่อยเสมอสู้เยลลี่ยุทธสา
มิได้กลับมาแม่จงทราบตา	หนูตกมาบอกแล้วนะเจ้าพลาย"
2025-05-10 20:12:08,เยลลี่ยุทธเมืองสุรินทร์ ใครได้เห็นก็ต้องอยากกิน โคตรอร่อยเคี้ยวเพลินนุ่มลิ้น จะไปบอกแม่ว่าหนูอยากกิน ,"เยลลี่ยุทธเมืองสุรินทร์ก่อน	ใครได้ย้อนย่อมอยากได้ไม่ไต่ถาม
อร่อยลิ้นเคี้ยวเพลินยิ่งเพลินงาม	ไม่ลืมคำที่บอกแม่ว่าช่างได้
จึงลากพ่อแม่ผู้เฒ่าไปส่งรถ	เข้าตลาดหมดหาสารพันหาย
ทั้งเยลลี่ยุทธที่ลิ้นกาย	ทั้งไก่ตายข้าวของที่ต้องการ
ลูกทูนหัวจึงพาพ่อไปคอย	บอกให้สอยซื้อหามาหมดสาน
แม่คุณจงบอกแม่ให้ทราบพลัน	ว่าลูกฉันไปตลาดหามาไว้"
2025-05-10 20:13:29,อยากได้กลอนที่พรรณนาถึงความสวยงามของดวงดาราที่ระยิบระยับอยู่บนท้องฟ้า,"ดูสุกสว่างว่างกลางฟ้าม่าน	ดูจันทร์แจ่มจำรัสรัศมี
ระยับด้วยดวงดาวประดับดี	ดูเหมือนมีดวงดาวประดับพาน
ดาวนิลอุบลวิมลมั่ง	ดาวดังดวงดาราวิหคหาญ
ดารารายรายรัตน์จำรัสจันทร์	ดาวประการกัลป์พฤกษ์กระจ่างพราย"
2025-05-10 20:13:38,แต่งกลอนแปดเกี่ยวกับความปวดหัวของการเป็นผู้เฝ้ายามอยู่ประจำจนเช้าทุกวันเพื่อเฝ้าบ้านให้เธอให้หน่อย,"ครั้นรุ่งรางสว่างไสวหน้า	จึงผันมายังวังยิ่งสงสัย
ให้พระหมื่นศรีที่เฝ้าอยู่หัวใจ	เป็นผู้ใหญ่ประจำการอยู่อาศัย
เฝ้าฟังยามตามตำแหน่งใน	จนรุ่งสายสว่างกระจ่างไข
ต้องฟังทั้งปวงทั้งวงวาย	ทุกวันไปถึงบ้านต่างตระนก
ต้องปวดหัวตัวดำอยู่ดำแดง	เพราะมัวแม้นเมืองน้อยจึงคอยส่ง
ต้องเฝ้าระวังฟังยามตามสามง	ทุกเช้าองค์เจ้าเมืองมาปรึกษา
ไม่เห็นรู้ว่าจะใคร่ใคร่คู่	ด้วยเป็นครูเฝ้าตำรวจทั้งหน้า
แต่เด็กเด็กเล็กเล็กเท่านิ้วแม่	ต้องเฝ้าหาห้ามปรามตามตำบล"
